municipality,year,week,season,ndvi,evi,temperature,temperature_max,temperature_min,rainfall_total,humidity,solar_radiation,wind_speed
Malinao,2016,6,Dry,0.7729073420957197,0.5420397505218875,25.38571429,26.04,24.97,20.51,82.25428571428571,18.687142857142856,5.371428571428572
Malinao,2016,7,Dry,0.6949587922095464,0.4727165396064731,25.72714286,26.07,25.52,77.6,82.60142857142857,17.62142857142857,6.1000000000000005
Malinao,2016,8,Dry,0.7753746125601587,0.53660777710517,25.99571429,26.54,25.69,92.63,85.11142857142856,17.342857142857145,4.634285714285714
Malinao,2016,9,Hot Dry,0.7685332666268418,0.56283218310298,25.85428571,26.24,25.5,3.42,82.87571428571428,23.05,3.968571428571429
Malinao,2016,10,Hot Dry,0.7563893339804307,0.5186117854289769,26.12857143,26.32,25.97,3.28,80.5442857142857,23.56714285714286,3.222857142857143
Malinao,2016,12,Hot Dry,0.7473639560110941,0.4736415068558607,26.50285714,26.93,25.9,4.859999999999999,78.24285714285715,23.807142857142857,3.0557142857142856
Malinao,2016,13,Hot Dry,0.6834465394225838,0.5118772867836142,26.94714286,27.31,26.24,34.32,79.58857142857143,19.00142857142857,4.912857142857143
Malinao,2016,14,Hot Dry,0.6201514018233993,0.4570728507314083,27.23571429,27.66,26.89,13.12,79.16142857142857,22.698571428571427,4.404285714285714
Malinao,2016,15,Hot Dry,0.6973590344939379,0.4769326142924922,28.08857143,28.44,27.75,13.88,80.58857142857143,23.464285714285715,3.684285714285714
Malinao,2016,16,Hot Dry,0.6667043716634082,0.420485449336836,27.85,28.02,27.68,16.57,77.60714285714286,23.84857142857143,4.3185714285714285
Malinao,2016,17,Hot Dry,0.6472080084473916,0.4511639919550436,28.54285714,29.14,27.8,14.61,75.8442857142857,23.73,3.628571428571429
Malinao,2016,18,Hot Dry,0.6373733648941062,0.4371772349176077,28.66714286,28.82,28.35,16.36,76.19285714285715,23.632857142857144,4.352857142857142
Malinao,2016,20,Hot Dry,0.6543999659683613,0.4246098038544627,28.94857143,29.27,28.52,8.45,73.96428571428571,23.24,4.097142857142857
Malinao,2016,21,Hot Dry,0.7202455202730564,0.4868734661217814,28.55285714,28.85,28.18,35.25,79.36714285714285,19.12142857142857,2.6185714285714283
Malinao,2016,22,Wet,0.646662526046436,0.4583883581837314,28.91571429,29.15,28.49,39.29,77.35142857142857,19.90571428571429,2.1885714285714286
Malinao,2016,23,Wet,0.6749737618888898,0.4354527117319103,29.11285714,29.9,28.61,38.46,77.79285714285713,20.012857142857143,3.257142857142857
Malinao,2016,24,Wet,0.5209839292595425,0.3926242234471315,27.96285714,28.65,27.44,72.34,81.53428571428572,16.391428571428573,2.821428571428572
Malinao,2016,25,Wet,0.6059869652215918,0.3847812027934862,27.82571429,28.28,27.33,67.81,80.77,17.574285714285715,2.5542857142857143
Malinao,2016,26,Wet,0.5903130167787468,0.4457491862096207,27.54571429,28.17,27.19,72.35,84.33571428571429,15.335714285714287,4.41
Malinao,2016,28,Wet,0.7347842194368299,0.4994325872303261,28.43571429,29.16,28.03,10.29,77.42714285714285,21.125714285714285,1.6785714285714286
Malinao,2016,29,Wet,0.6464787350666752,0.4915102959600889,28.08285714,28.78,27.56,25.27,79.92571428571429,20.36428571428572,2.325714285714286
Malinao,2016,30,Wet,0.7785007490280177,0.4695422146975004,28.36,28.83,27.62,100.11,79.82142857142857,16.580000000000002,3.1685714285714286
Malinao,2016,31,Wet,0.3341945533586916,0.3080667958240245,27.88857143,28.64,27.43,27.68,82.02571428571427,18.711428571428574,3.472857142857143
Malinao,2016,32,Wet,0.6573255268992692,0.4761949817273284,27.66428571,27.97,27.44,42.26,85.11857142857141,16.419999999999998,6.681428571428571
Malinao,2016,33,Wet,0.4806908924832838,0.4083246090403663,27.70714286,28.1,26.84,70.87,86.0657142857143,16.075714285714287,4.518571428571429
Malinao,2016,34,Wet,0.7719494102464101,0.5313379869798674,27.89,28.3,27.57,6.62,83.43857142857144,22.02857142857143,3.5700000000000003
Malinao,2016,36,Wet,0.6184617400813289,0.4188954851908382,27.96428571,28.27,27.6,29.07,81.34857142857143,20.78428571428572,2.045714285714286
Malinao,2016,37,Wet,0.6974846304536189,0.5204616468467079,27.75,27.85,27.55,33.4,83.70857142857143,19.715714285714284,3.27
